Molecule ChEMBL ID,Smiles,pChEMBL Value
CHEMBL1612347,CCCn1c(-c2ccc(F)cc2)nc2c(NCCN(CC)CC)nc(C)nc21,4.8
CHEMBL123325,COC(=O)C1=CO[C@@H](C)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,5
CHEMBL1356628,CC(C)c1cccc2c([Si](C)(C)C)c3c(nc12)-c1cccc(=O)n1C3,4.6
CHEMBL1359135,COC(=O)[C@]1(C)C[C@H]1[C@H](NC(=O)c1ccc(Br)cc1)c1ccccc1,4.7
CHEMBL1396463,CCOC(=O)C1=C(N)Oc2ccc(Br)cc2[C@@H]1[C@@H](C#N)C(=O)OCC,4.5
CHEMBL1487898,O=C(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)N1CCC2(CC1)CCN(c1ccncc1)CC2,5
CHEMBL275638,O=c1cc(-c2ccccc2)oc2ccccc12,4.9
CHEMBL1435912,COCCn1c(=O)c(CCc2ccccc2)nc2cnc(OC)nc21,4.9
CHEMBL1316749,C=CC[C@@H]1C=C[C@H](Oc2ccc(C)cc2)[C@H](COC(=O)NCc2cccc3ccccc23)O1,5.5
CHEMBL1594648,O=C(Nc1cccc(F)c1)N1CCCC2(CCN(C(=O)c3ccncc3)CC2)C1,5.2
CHEMBL1473073,CCCCNc1nc(C)nc2c1nc(-c1ccccc1)n2CC1CCCN1CC,5.4
CHEMBL1409547,COc1ccc2nc3c(c(-c4ccccc4)c2c1)CCC3,5.3
CHEMBL1356870,O[C@@](CCN1CCCCC1)(c1ccccc1)C1CCCCC1,4.9
CHEMBL1329927,CN1CCN2c3ccccc3Cc3ccccc3[C@@H]2C1,4.9
CHEMBL472994,c1cc(-c2sc(-c3ccncc3)c(-c3ccncc3)c2-c2ccncc2)ccn1,6.5
CHEMBL1372077,CC(=O)N1CC=CC1(CC(C)C)C(=O)NCc1cc(F)cc(C(F)(F)F)c1,4.9
CHEMBL1486821,CCc1cc2c(nc1CC)CCN(CC/C(C)=N/O[C@@H](C)c1cn([C@H](CO)Cc3ccccc3)nn1)C2,5.5
CHEMBL1288014,Cc1ccc(C(=N)c2ccccc2Cc2cccc3ccccc23)c2ccccc12,5.4
CHEMBL399121,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,4.8
CHEMBL1200868,Nc1ccc(C(=O)Oc2ccccc2)c(O)c1,4.8
CHEMBL1573058,CN1CCN(c2nc(-c3cccc(C#N)c3)nc3ccccc23)CC1,4.8
CHEMBL397209,CP(=O)(O)C1=CCNCC1,4.4
CHEMBL1439099,CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1.O=C(O)C(=O)O,6
CHEMBL1316709,CN1CCN(c2ncnc3ccc(-c4ccoc4)cc23)CC1,4.8
CHEMBL1316796,CCNc1ncc2nc(-c3cccs3)c(=O)n(C)c2n1,4.9
CHEMBL1315743,CCCCCN(CCCCC)C(=O)[C@H](CCC(=O)[O-])NC(=O)c1ccc(Cl)c(Cl)c1.[Na+],4.6
CHEMBL491976,COc1ccc(CNc2ncncc2-c2ccccc2C)c(OC)c1,6.4
CHEMBL454431,COC(=O)c1c(C)cc(O)cc1O,4.9
CHEMBL491909,Cc1cccc(CNc2ncncc2-c2ccccc2C(F)(F)F)c1,7.1
CHEMBL491910,COc1ccccc1CNc1ncncc1-c1ccccc1C(F)(F)F,7.1
CHEMBL1478221,O=C(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)N1CCC2(CCCN(c3ccccn3)C2)CC1,4.8
CHEMBL1394757,CC[C@@]1(c2ccc(N)cc2)CCC(=O)NC1=O,5
CHEMBL1439202,N.O=NN(O)c1ccccc1,4.5
CHEMBL1605941,CCC(C)C(=O)OC1C[C@@]2(C)C(c3ccoc3)OC(=O)CC23OC2(C)OC34C(OC(=O)C(C)C)[C@]3(O)C(OC(=O)C5(C)OC5C)[C@]5(C)CC3(O)[C@](C)(C5CC(=O)OC)C14O2,5.6
CHEMBL1551732,O=C(N/N=C1/C[C@@H](O)[C@@H](O)[C@H]2[C@@H]1CC[C@@H]1C(=O)N(c3cccc(Oc4ccccc4)c3)C(=O)[C@H]12)OCc1ccccc1,5.4
CHEMBL1394734,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)[C@]2(C(=O)CO)O1,4.4
CHEMBL2373669,CCC(=O)[C@]12O[C@@]3(C4C(=O)OCCC41)N(Cc1ccccc1)C(C)=C(C(=O)OC)C(c1ccccc1)N3C2=O,5.9
CHEMBL1567292,Cc1noc(C)c1C(=O)N1CCC2(CCCN(Cc3nccs3)C2)CC1,4.9
CHEMBL41092,Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,4.6
CHEMBL1517581,CC(=O)OCC1OC(Oc2cc(OC(C)=O)c3c(=O)cc(-c4ccc(OC(C)=O)c(OC(C)=O)c4)oc3c2)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,5.4
CHEMBL1517635,CC1(C(=O)NCCN2CCOCC2)C=CC2(CCCCC2)N1C(=O)c1ccccc1,5.1
CHEMBL1606292,COC(=O)[C@@]1(Cc2ccc(F)cc2)[C@H]2c3cc(C(=O)N(C)C)n(Cc4ccsc4Br)c3C[C@H]2CN1C(=O)c1ccccc1,5.9
